# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
aluminium container	алюминиевый контейнер
aluminium content	содержание алюминия
aluminium industry	алюминиевая промышленность
amalgam	амальгама
ambassador	посол
ambulance	скорая помощь
americium	америций
amethyst	аметист
amine	амин
amino acid	аминокислота
ammonia	аммиак
ammonification	аммонификация
ammonium	аммоний
amphetamine	амфетамин
amphibian	амфибии
amphitheatre	амфитеатр
amusement park	парк развлечений
anaconda	анаконда
anaerobic process	анаэробный процесс
anaerobic treatment	анаэробная обработка
anagram	анаграмма
analogy	аналогия
analysis	анализ
analysis programme	программа анализа
analytical chemistry	аналитическая химия
analytical equipment	аналитическое оборудование
analytical method	аналитический метод
anarchism	aнархизм
anarchy	анархия
anatomy	анатомия
anchor	якорь
angel	ангел
angiosperm ; flowering plant	покрытосеменные ; цветочное растение
angling ; fishing ; line-fishing	спортивная рыбная ловля
animal	животное
animal behaviour	поведение животных
animal biology	биология животных
animal conservatory	заповедник животных
animal corridor	"коридор" для животных
animal damage	ущерб, наносимый животными
animal disease	болезни животных
animal displacement	перемещение животных
animal ecology	экология животных
animal excrement	экскременты животных
animal experiment	эксперименты над животными
animal foodstuff	корм для животных
animal for slaughter	животные для забоя
animal habitat	природная среда обитания животных
animal heritage	наследие животного мира
animal husbandry	животноводство
animal manure	навоз
animal migration	миграция животных
animal noise	шум, производимый животными
animal nutrition	питание животных
animal physiology	физиология животных
animal population	популяция животных
animal product	животноводческая продукция
animal production	производство животноводческой продукции
animal protection	защита животных
animal reproduction	репродукция животных
animal resource	животные ресурсы
animal rights	права животных
animal shelter	помещения для содержания животных
animal species	животные виды
animal species reintroduction	повторное заселение видов животных
animal trade	торговля животными
animal waste	отходы животноводства
anime	аниме
anion	анион
anise	анис
ankle ; talocrural joint	лодыжка ; щиколотка
annelid	кольчатые черви
anniversary	годовщина
ant	муравей
antagonism	антагонизм
antelope	антилопа
anthropic activity	деятельность человека
anthropologic reserve	антропологический заповедник
anthropologist	антрополог
anthropology	антропология
antibiotic	антибиотик
antibody	антитело
anticipation of danger	ожидание опасности
antifouling agent	антиводорослевый реагент
antimony	сурьма
antiparticle	античастица
antipollution incentive	стимулирование борьбы с загрязнением окружающей среды
antiquated plant	завод с устаревшим оборудованием
antiseismic regulation	антисейсмические нормативы
antonym	антонимы
anvil	наковальня
anytime	всегда
apartheid	апартеид
apartment block	многоквартирный жилой дом
apathy	апатия
aphorism	афоризм
apiculture ; beekeeping	пчеловодство
apoptosis	апоптоз
apostle	апостол
appeal	апелляция
appeal procedure	процедура апелляции
apple	яблоко
apple ; apple tree	яблоня
applied ecology	прикладная экология
applied nutrition	прикладная диететика
applied research	прикладное исследование
applied science	прикладная наука
appraisal	оценка
approach	подход
appropriate technology	приемлемая технология
approval ; approbation	одобрение
approval of installations	разрешение на использование промышленной установки
aquaculture	аквакультура
aquamarine	аквамарин
aquarium	аквариум
aquatic animal	водное животное
aquatic ecology	экология водной среды
aquatic ecosystem	водная экосистема
aquatic environment	водная среда
aquatic mammal	водное млекопитающее
aquatic organism	водный организм
aquatic plant	водное растение
aqueduct	акведук
aquifer	водоносный пласт
arable farming	земледелие
arboretum	ботанический сад
arboriculture	древоводство
archaeological	археологический
archaeological site	археологическая площадка
archaeology ; archeology ; archæology	археология
archbishop	архиепископ
archduke	эрцгерцог
archeologist ; archaeologist	археолог
archer ; archer	лучник
archetype	архетип
archipelago	архипелаг
architect	архитектор
architecture	архитектура
archive	архив
area of potential pollution	ареал потенциального загрязнения
area under stress	районы напряженной экологической обстановки
argon	аргон
arid land	аридные (засушливые) земли
aristocracy	аристократия
arithmetic ; arithmetics	арифметика
armament	вооружение
armament conversion	конверсия вооружений
armed forces	вооруженные силы
armistice	перемирие
armoury	арсенал
armpit	подмышка
aromatic compound	ароматические соединения
aromatic hydrocarbon	ароматический углеводород
aromatic substance	ароматическое вещество
arrange ; adapt ; adjust ; conform ; accommodate ; suit	приспособить
arrangement for a deposit on packaging	депозит за возвратную тару
arrow	стрела
arrowhead	наконечник
arsenic	мышьяк
arson	поджог
arsonist	поджигатель
art	искусство
artery	артерия
artful	хитроумный
arthritis	артрит
arthropod	артроподы
artificial lake	искусственное озеро
