0 (number)	0 (число)
Antonio Vivaldi	Вивальди, Антонио
Antonym	Антонимы
Antwerp	Антверпен
Antwerp (province)	Антверпен (провинция)
Anubis	Анубис
Anus	Анус человека
Aorta	Аорта
Apache	Апачи
Apatite	Апатит
Ape	Человекообразные обезьяны
Aphasia	Афазия
Aphorism	Афоризм
Aphrodite	Афродита
Apia	Апиа
Apiaceae	Зонтичные
Apocrypha	Апокриф (религия)
Apodiformes	Стрижеобразные
Apollo	Аполлон
Apollo (disambiguation)	Аполлон (значения)
Apollo program	Категория:Программа «Аполлон»
Apoptosis	Апоптоз
Appalachian Mountains	Аппалачи
Appendicitis	Аппендицит
Apple	Яблоко
Applied mathematics	Прикладная математика
Apricot	Абрикос
April	Апрель
April 14	14 апреля
April Fools' Day	День смеха
Apse	Апсида (архитектура)
Apulia	Апулия
Apus	Райская Птица (созвездие)
Aqaba	Акаба
Aqua regia	Царская водка
Aquamarine	Аквамарин
Aquarium	Аквариум
Aquarius (constellation)	Водолей (созвездие)
Aqueduct	Акведук
Aquila (constellation)	Орёл (созвездие)
Aquitaine	Аквитания (историческая область Франции)
Ara (constellation)	Жертвенник (созвездие)
Arab	Арабы
Arab League	Лига арабских государств
Arabian Peninsula	Аравийский полуостров
Arabian Sea	Аравийское море
Arabic alphabet	Арабское письмо
Arabic language	Арабский язык
Araceae	Ароидные
Arachnid	Паукообразные
Arafura Sea	Арафурское море
Aragon	Арагон
Aral Sea	Аральское море
Aram Khachaturian	Хачатурян, Арам Ильич
Arcadia	Аркадия
Arcangelo Corelli	Корелли, Арканджело
Arch	Арка
Archaeology	Археология
Archaeology	Категория:Археология
Archaeopteryx	Археоптерикс
Archangel	Архангелы
Archbishop	Архиепископ
Archean	Архей
Archetype	Архетип
Archimedes	Архимед
Archipelago	Архипелаг
Architect	Архитектор
Architecture	Архитектура
Architecture	Категория:Архитектура
Archive	Архив
Archosaur	Архозавры
Arctic	Арктика
Arctic Circle	Полярный круг
Arctic Ocean	Северный Ледовитый океан
Arctic fox	Песец
Ardennes	Арденны (горы)
Ardennes (department)	Арденны (департамент)
Are	Ар
Area	Площадь
Arecaceae	Пальмовые
Ares	Арес
Argentina	Аргентина
Argentina	Категория:Аргентина
Argon	Аргон
Argos	Аргос (город)
Aria	Ария
Ariadne	Ариадна
Arianism	Арианство
Aries (constellation)	Овен (созвездие)
Aristarchus of Samos	Аристарх Самосский
Aristocracy	Аристократия
Aristophanes	Аристофан
Aristotle	Аристотель
Arithmetic	Арифметика
Arithmetic	Категория:Арифметика
Arithmetic progression	Арифметическая прогрессия
Arius	Арий
Arizona	Аризона (штат)
Arizona	Категория:Аризона
Ark of the Covenant	Ковчег завета
Arkansas	Арканзас
Arkansas	Категория:Арканзас
Arles	Арль
Armadillo	Броненосцы
Armenia	Армения
Armenia	Категория:Армения
Armenian language	Армянский язык
Arminius	Арминий
Armour	Доспехи
Army	Армия
Arnhem	Арнем
Arno River	Арно (река)
Arnold Schoenberg	Шёнберг, Арнольд
Aromatic hydrocarbon	Арены
Arquebus	Аркебуза
Arras	Аррас
Arrow	Стрела
Arsenic	Мышьяк
Art	Искусство
Art Deco	Ар-деко
Art Nouveau	Модерн
Art history	Категория:История искусства
Art history	История искусства
Artemis	Артемида
Artemisia (plant)	Полынь
Artemisia absinthium	Полынь горькая
Artery	Артерия
Arthritis	Артрит
Arthropod	Членистоногие
Arthur Compton	Комптон, Артур Холли
Arthur Conan Doyle	Конан Дойль, Артур
Arthur Miller	Миллер, Артур
Arthur Rimbaud	Рембо, Жан Никола Артюр
Arthur Schopenhauer	Шопенгауэр, Артур
Arthur Wellesley	Веллингтон, Артур Уэлсли
Artificial intelligence	Искусственный интеллект
Artificial intelligence	Категория:Искусственный интеллект
Artillery	Артиллерия
Artillery	Категория:Артиллерия
Artist	Деятель искусств
Arts	Категория:Искусство
Arturo Toscanini	Тосканини, Артуро
Aruba	Аруба
Aruba	Категория:Аруба
Asbestos	Асбест (материал)
Asclepius	Асклепий
Asexuality	Асексуальность
Asgard	Асгард
Ash Wednesday	Пепельная среда
Ashurbanipal	Ашшурбанапал
Asia	Азия
Asia	Категория:Азия
Asmara	Асмэра
Aspartame	Аспартам
Asphalt	Асфальт
Aspirin	Ацетилсалициловая кислота
Assam	Ассам
Assembly language	Язык ассемблера
Association of Southeast Asian Nations	АСЕАН
Assyria	Ассирия
Assyria	Категория:Ассирия
Astana	Астана
